"","state","ev"
"1","Alabama",9
"2","Alaska",3
"3","Arizona",11
"4","Arkansas",6
"5","California",55
"6","Colorado",9
"7","Connecticut",7
"8","Delaware",3
"9","District of Columbia",3
"10","Florida",29
"11","Georgia",16
"12","Hawaii",4
"13","Idaho",4
"14","Illinois",20
"15","Indiana",11
"16","Iowa",6
"17","Kansas",6
"18","Kentucky",8
"19","Louisiana",8
"20","Maine",2
"21","Maine CD-1",1
"22","Maine CD-2",1
"23","Maryland",10
"24","Massachusetts",11
"25","Michigan",16
"26","Minnesota",10
"27","Mississippi",6
"28","Missouri",10
"29","Montana",3
"30","Nebraska",2
"31","Nebraska CD-1",1
"32","Nebraska CD-2",1
"33","Nebraska CD-3",1
"34","Nevada",6
"35","New Hampshire",4
"36","New Jersey",14
"37","New Mexico",5
"38","New York",29
"39","North Carolina",15
"40","North Dakota",3
"41","Ohio",18
"42","Oklahoma",7
"43","Oregon",7
"44","Pennsylvania",20
"45","Rhode Island",4
"46","South Carolina",9
"47","South Dakota",3
"48","Tennessee",11
"49","Texas",38
"50","Utah",6
"51","Vermont",3
"52","Virginia",13
"53","Washington",12
"54","West Virginia",5
"55","Wisconsin",10
"56","Wyoming",3
